orig_destination_distance,hotel_continent,hotel_country,hotel_market,length_of_stay,srch_destination_id,is_package,srch_destination_type_id,srch_children_cnt,user_location_region,user_location_country_66,posa_continent_3,srch_ci_DoW_Tuesday,is_booking,srch_adults_cnt,srch_ci_DoW_Monday,site_name_2,date_time_MoY_May,is_mobile,cnt,date_time_DoW_Thursday,date_time_MoY_December
2224.7401,2,0,390,2,8270,0,1,1,155,0,1,0,0,3,0,0,0,0,1,0,0
441.9217,6,0,29,4,8746,1,1,1,408,0,0,0,0,2,1,0,0,0,4,0,0
1367.201,2,1,365,3,8254,0,1,0,442,1,1,0,0,2,0,1,0,1,1,0,1
4315.8083,6,0,29,3,8746,1,1,0,337,1,1,0,0,2,0,1,0,0,1,0,0
6352.1162,6,0,29,4,8746,0,1,0,174,1,1,0,0,2,0,1,0,0,1,1,0
2314.6716,2,1,1015,1,12000,0,1,0,348,1,1,0,0,2,0,1,0,0,1,0,0
2500.359,2,1,213,3,8855,1,1,0,174,1,1,0,0,1,1,1,0,1,1,0,0
163.6265,2,1,637,1,8230,0,1,0,260,1,1,0,0,2,0,1,0,0,9,0,0
608.0495,6,0,1860,1,21423,1,1,0,318,0,0,0,0,1,1,0,0,0,1,0,0
2179.5283,2,1,628,4,8250,0,1,2,220,1,1,0,0,2,0,1,0,0,2,0,0
1192.9814,2,1,701,3,8260,1,1,0,258,1,1,0,0,2,0,1,0,0,1,0,0
193.7973,2,1,675,2,8267,0,1,1,348,1,1,0,0,2,0,1,0,0,1,0,0
1534.1684,2,1,366,4,12132,1,1,2,312,0,1,0,0,2,0,0,0,0,1,0,1
5827.7002,6,0,28,3,8808,0,1,0,174,1,1,1,0,2,0,1,0,0,1,0,0
2458.8709,2,1,675,3,8267,0,1,0,174,1,1,0,0,2,0,1,0,0,1,0,0
1615.5127,4,0,124,2,1250,0,1,0,174,1,1,0,1,2,0,1,0,0,1,1,0
53.0524,2,1,1675,1,11924,0,1,0,356,1,1,0,0,1,0,1,0,0,1,0,0
338.1753,2,1,1241,1,14985,0,1,0,174,1,1,0,1,2,0,1,0,0,1,0,0
191.4094,2,1,699,1,3181,0,3,0,220,1,1,0,0,2,1,1,0,1,1,0,0
4104.1077,6,0,186,2,24572,0,6,0,348,1,1,0,0,2,0,1,1,0,4,0,0
1078.9431,2,1,682,7,12654,1,5,0,354,0,1,1,0,2,0,0,0,0,2,0,0
372.8391,6,0,287,3,11341,1,1,0,157,0,0,0,0,2,0,0,1,0,1,0,0
6884.2749,3,0,230,11,12682,1,5,0,174,1,1,0,0,1,0,1,0,0,1,0,0
908.2785,2,1,656,1,8236,0,1,1,258,1,1,1,0,2,0,1,0,0,1,0,0
715.9249,2,1,644,3,12014,0,1,0,354,0,1,0,0,2,0,0,0,0,1,0,0
1703.8214,2,1,660,2,12748,0,5,0,442,1,1,0,0,2,0,1,0,0,1,0,0
2526.0207,2,1,212,6,669,1,3,2,174,1,1,0,0,2,0,1,0,0,1,0,0
8180.6556,3,0,321,1,22397,0,1,1,174,1,1,0,0,2,0,1,0,0,1,0,1
774.8788,2,1,1294,1,8852,1,1,3,174,1,1,0,0,3,1,1,0,0,1,1,0
6963.2351,0,0,185,5,12790,0,5,0,348,1,1,0,0,2,1,1,0,0,1,0,0
842.2725,2,1,680,2,4654,0,3,0,348,1,1,0,0,2,0,1,0,0,2,0,1
1517.2458,2,1,365,1,8254,0,1,0,321,1,1,0,0,1,0,1,0,0,1,0,0
960.9797,2,1,682,4,8268,0,1,0,348,1,1,0,0,2,1,1,0,1,2,1,1
1109.1682,2,1,699,3,11353,1,1,0,442,1,1,0,0,2,0,1,0,0,1,0,0
4563.4095,6,0,1849,1,18663,0,1,0,467,1,1,0,0,2,1,1,0,0,2,0,0
4854.36,6,0,23,1,8263,0,1,0,314,1,1,0,1,1,0,1,0,0,1,0,0
239.1166,2,1,460,1,33920,0,1,0,220,1,1,0,1,2,0,1,0,0,1,0,0
7419.684,3,0,79,4,5497,0,1,0,155,0,1,0,0,2,0,0,0,1,1,0,0
882.605,2,1,412,4,8277,1,1,0,226,1,1,0,0,1,1,1,1,0,1,0,0
177.449,2,1,1529,1,12193,0,6,0,442,1,1,1,1,1,0,1,0,1,1,0,0
931.8625,4,0,110,7,8791,1,1,1,442,1,1,0,0,2,0,1,0,0,2,0,0
4602.0857,2,1,213,7,8855,1,1,0,354,0,1,1,0,2,0,0,0,0,3,0,0
15.4228,6,0,1854,2,20254,0,6,2,401,0,0,0,0,3,0,0,0,1,2,0,0
364.0288,2,1,751,3,24946,0,6,0,198,1,1,0,0,2,0,1,0,0,1,0,0
6373.1627,3,0,47,7,8221,0,1,0,174,1,1,1,0,2,0,1,0,0,2,1,0
679.5699,2,1,663,1,8281,0,1,1,174,1,1,0,0,2,0,1,0,0,1,0,0
4281.2169,3,0,1312,3,1795,0,1,0,500,0,0,1,0,1,0,0,0,0,1,0,0
254.7174,2,1,663,1,60768,0,6,0,256,1,1,0,0,2,0,1,0,0,1,0,0
667.7158,2,1,411,7,8266,1,1,0,220,1,1,0,0,4,0,1,0,0,1,0,0
2322.2344,2,1,663,1,8281,0,1,0,448,1,1,0,0,1,0,1,0,0,1,0,0
1401.9557,4,0,1455,7,11373,0,1,0,352,1,1,0,0,2,0,1,0,0,1,0,0
366.1558,2,1,628,1,8250,0,1,0,447,1,1,0,0,4,0,1,0,0,1,1,0
2590.8356,2,1,1015,1,12000,0,1,0,311,1,0,0,0,2,0,0,0,0,1,0,0
731.4936,2,1,1262,2,27595,0,1,0,220,1,1,0,0,2,0,1,1,0,1,0,0
115.1023,2,1,365,1,1531,0,3,0,174,1,1,0,0,2,0,1,0,0,1,0,0
2390.8375,4,0,110,1,8791,0,1,0,174,1,1,0,0,2,0,1,0,0,1,1,0
711.172,2,1,1241,1,14985,1,1,0,462,1,1,0,0,1,0,1,0,0,1,1,0
1100.2263,2,1,659,1,16971,0,5,0,462,1,1,1,0,2,0,1,0,0,1,0,0
281.6121,2,1,628,3,12206,0,6,0,174,1,1,0,0,2,0,1,0,0,1,0,0
185.0779,2,1,472,1,4383,0,1,0,260,1,1,0,0,2,1,1,0,1,1,0,0
758.4817,2,1,637,1,8230,1,1,0,403,1,1,1,0,1,0,1,1,0,1,0,0
423.3282,2,1,704,2,11848,0,1,0,403,1,1,0,0,1,1,1,0,0,1,0,0
1806.9449,2,1,369,1,11620,0,1,0,258,1,1,0,0,2,0,1,0,0,2,0,0
1529.5976,2,1,365,1,25470,0,6,0,321,1,1,0,0,2,0,1,0,0,1,0,0
509.1425,2,1,739,1,25204,0,1,0,315,1,1,0,0,1,0,1,0,0,1,0,0
189.7421,2,1,1538,2,8223,0,1,1,348,1,1,0,0,2,0,1,0,0,2,0,0
190.4662,2,1,1155,2,26532,0,6,1,448,1,1,0,1,1,0,1,0,0,1,1,0
34.3266,2,1,350,1,8216,0,1,0,226,1,1,0,0,2,0,1,0,0,1,0,1
6878.126,3,0,232,2,8282,0,1,0,348,1,1,0,0,2,0,1,0,0,1,0,0
3685.4185,2,1,691,1,28649,0,6,0,171,0,0,0,0,2,0,0,0,1,1,0,0
51.6445,2,1,1051,1,26845,0,1,0,258,1,1,0,0,2,0,1,0,1,3,0,0
5148.4002,6,0,1226,2,4266,0,6,1,442,1,1,0,0,4,0,1,0,0,4,0,0
4884.5229,6,0,32,2,8285,0,1,0,184,1,1,0,0,1,0,1,0,0,2,0,0
100.8442,2,1,673,1,24482,0,1,0,256,1,1,0,0,2,0,1,0,1,1,1,0
910.7968,4,0,118,4,12219,0,6,0,442,1,1,0,0,2,0,1,0,0,1,0,1
1504.2052,2,1,1230,4,8279,1,1,0,322,1,1,0,0,2,0,1,1,0,1,1,0
981.2872,2,1,628,5,12206,0,6,0,155,0,1,0,0,3,0,0,0,0,1,0,0
3995.9791,6,0,39,1,25972,0,6,0,363,1,1,0,0,2,0,1,0,0,1,0,0
1048.3741,2,1,411,2,8266,1,1,0,321,1,1,0,0,1,0,1,0,0,1,1,0
160.6468,2,1,736,1,34993,0,4,0,333,1,1,0,0,2,0,1,0,0,1,0,1
712.1497,2,1,675,3,8267,1,1,0,258,1,1,0,0,1,0,1,0,0,1,0,0
5031.9099,6,0,771,4,20006,0,6,0,258,1,1,0,0,2,0,1,0,0,1,0,0
1594.1433,4,0,110,7,8791,0,1,0,467,1,1,1,0,2,0,1,0,0,1,0,0
105.6172,2,1,1241,1,14985,0,1,2,174,1,1,0,1,2,0,1,0,0,1,1,0
1967.9169,4,0,101,7,40628,1,3,0,435,1,1,0,0,2,0,1,0,0,1,0,0
1136.8119,4,0,195,6,6450,1,1,0,435,1,1,0,0,2,0,1,0,0,1,0,0
7189.9714,3,0,982,7,45032,1,1,0,174,1,1,1,0,1,0,1,0,0,1,0,0
182.1231,4,0,109,3,8787,1,1,0,500,0,0,0,0,2,0,0,0,1,7,0,0
3941.3757,6,0,35,3,8785,0,1,0,385,0,1,0,0,2,0,0,0,0,1,0,0
153.2745,2,1,637,1,27141,0,6,0,254,1,1,0,0,4,0,1,0,0,1,0,0
9.1705,2,1,663,1,8281,0,1,2,462,1,1,0,0,1,0,1,1,0,1,0,0
336.9501,2,1,409,1,12201,0,6,0,294,1,1,0,0,2,0,0,0,0,1,1,1
974.2556,2,1,663,1,17843,0,4,0,174,1,1,1,1,2,0,1,0,1,1,0,0
13.7436,2,0,397,1,26022,0,6,1,354,0,1,0,0,2,0,0,0,0,2,0,0
141.4876,2,1,702,1,11853,0,1,0,220,1,1,0,0,1,0,1,1,0,1,0,0
486.5365,2,1,656,1,12195,0,6,2,254,1,1,0,0,2,0,1,0,0,1,0,0
573.4719,2,1,661,2,24838,0,6,0,174,1,1,0,1,2,0,1,0,0,1,0,0
2092.8272,2,1,411,2,8266,1,1,0,462,1,1,0,0,2,0,1,0,0,1,0,0
463.9417,2,1,1010,1,19363,0,1,2,331,1,0,0,0,2,0,0,1,0,1,0,0
122.4066,2,1,355,3,8834,1,1,0,174,1,1,0,0,2,1,1,0,0,1,0,0
86.9316,2,1,544,1,50688,0,4,0,311,1,1,0,0,4,0,1,0,0,1,0,0
5347.8446,6,0,1923,13,33304,0,4,0,174,1,1,1,0,2,0,1,0,0,1,0,0
18.7485,2,1,350,1,8216,0,1,1,226,1,1,1,0,2,0,1,0,0,1,0,0
1980.3463,2,0,399,1,14055,0,4,0,442,1,1,0,0,2,0,1,0,0,1,1,0
1981.3351,0,0,181,7,24058,1,6,0,500,0,0,0,0,2,0,0,0,0,2,0,0
0.9909,2,1,660,2,43678,0,1,0,462,1,1,0,0,2,0,1,1,0,1,0,0
1191.8096,2,1,637,3,12191,0,6,0,220,1,1,0,0,1,0,1,1,0,1,0,0
2446.8947,2,1,675,3,8267,0,1,0,174,1,1,0,0,1,0,1,0,0,3,0,0
463.6598,2,0,1137,1,45134,0,1,0,348,1,1,0,0,2,0,1,0,0,3,0,0
1752.4634,4,0,1511,7,8864,1,1,0,354,0,1,0,0,2,0,0,0,0,1,1,0
7.8156,2,1,191,1,12281,0,6,0,314,1,1,0,1,2,0,1,0,0,1,0,0
5037.0674,6,0,237,1,22346,0,1,0,348,1,1,1,0,2,0,1,0,0,1,0,0
153.8372,2,1,661,3,8276,0,1,1,474,1,1,0,0,2,0,1,0,0,1,0,0
984.5203,6,0,237,4,791,0,1,0,318,0,0,0,0,2,0,0,0,0,2,0,0
2560.2499,2,1,675,7,8267,1,1,1,174,1,1,0,0,3,0,1,0,0,1,0,0
1298.1568,4,0,126,9,11938,1,1,1,442,1,1,0,0,3,0,1,0,1,1,0,0
1856.1475,4,0,118,5,8824,0,1,0,462,1,1,0,0,2,0,1,0,0,1,0,0
450.5195,6,0,2,3,8788,1,1,2,318,0,0,0,0,2,0,0,0,0,3,1,0
5930.7624,6,0,245,4,8245,0,1,0,220,1,1,0,0,1,0,1,0,0,1,0,0
984.4325,2,1,700,7,11854,1,1,0,351,1,1,0,0,2,0,1,0,0,3,0,0
246.9266,2,1,628,1,12206,0,6,0,174,1,1,0,0,4,1,1,0,0,1,0,0
811.161,2,1,682,4,8268,0,1,0,351,1,1,0,0,2,0,1,0,0,1,0,0
268.4878,2,1,591,1,11361,0,1,0,314,1,1,0,0,4,0,1,0,0,1,0,0
5477.4599,3,0,107,5,8747,0,1,0,174,1,1,0,0,1,0,1,0,0,1,0,0
2506.3135,2,1,366,2,4273,0,3,0,189,1,1,0,0,2,0,1,0,1,2,0,0
763.0164,2,1,682,19,8268,0,1,1,448,1,1,0,0,2,0,1,0,0,2,0,0
769.9109,2,1,647,1,8265,0,1,0,348,1,1,1,0,3,0,1,0,0,1,0,0
1583.2969,4,0,110,6,8791,1,1,0,189,1,1,0,0,2,0,1,0,0,1,1,0
193.0163,2,1,1263,3,27468,0,6,0,226,1,1,0,0,1,1,1,0,0,1,0,0
147.1855,2,0,399,2,8288,0,1,0,462,1,1,0,0,1,0,1,0,0,1,0,0
2438.8294,4,0,2060,1,8222,1,1,0,442,1,1,0,0,2,0,1,0,0,1,0,0
2620.9292,4,0,126,13,5405,0,6,0,356,1,1,0,0,2,0,1,0,1,1,0,0
6048.4944,6,0,951,2,8215,0,1,0,393,0,1,1,1,5,0,1,0,0,1,0,0
17.8085,2,1,190,1,4688,0,3,0,174,1,1,0,0,2,0,1,0,0,1,1,0
1624.1126,4,0,110,5,8791,1,1,2,348,1,1,0,0,2,0,1,0,1,1,0,0
2384.0266,4,0,110,3,8791,0,1,2,174,1,1,0,0,2,0,1,0,0,2,0,0
2502.6474,2,1,676,1,12576,0,5,1,356,1,1,1,0,2,0,1,0,0,1,0,0
2557.9671,2,1,358,1,24652,0,6,0,348,1,1,0,1,2,1,1,0,0,1,0,0
958.6286,2,1,682,2,8268,0,1,0,348,1,1,0,0,4,0,1,0,0,1,0,0
5354.5525,4,0,1946,5,23267,0,1,0,254,1,1,0,0,2,0,1,0,0,1,0,0
101.2369,2,1,1030,2,26114,0,4,0,467,1,1,0,0,2,0,1,0,0,1,0,0
522.4874,2,1,972,1,287,0,3,0,155,0,1,0,0,2,0,0,0,0,1,0,0
2523.8452,4,0,167,5,22943,1,1,0,174,1,1,1,0,2,0,1,0,0,1,1,0
141.4209,2,1,539,1,35452,0,4,3,184,1,1,0,1,2,0,1,0,0,1,0,0
950.789,2,1,685,2,8284,0,1,0,351,1,1,0,0,2,0,1,0,0,1,0,0
30.1499,2,1,190,1,8279,0,1,0,174,1,1,1,0,2,0,1,0,0,1,0,0
168.1045,2,0,384,1,26227,0,6,0,354,0,1,0,1,4,0,0,0,0,1,0,0
2368.2948,2,1,367,3,1357,0,3,0,348,1,1,0,0,2,1,1,1,0,1,0,0
10.8392,2,1,365,1,1531,0,3,0,174,1,1,0,0,8,1,1,1,0,1,0,0
24.8642,2,1,368,29,8278,1,1,0,174,1,1,0,0,1,1,1,1,0,1,1,0
1727.8293,4,0,1502,5,32090,1,6,0,258,1,1,0,0,4,0,1,0,1,2,0,1
4039.2671,6,0,2,3,17660,0,5,0,314,1,1,0,0,2,0,1,0,0,1,1,0
884.6732,2,1,675,1,8267,0,1,2,322,1,1,0,0,2,1,1,0,0,1,0,0
164.2376,2,1,721,1,26344,0,1,3,288,1,1,0,1,2,0,1,0,1,1,1,0
2170.7293,2,1,628,4,8250,1,1,2,220,1,1,1,0,2,0,1,1,1,1,0,0
571.8274,2,1,721,1,26344,0,1,0,442,1,1,0,1,1,1,1,0,0,1,0,0
1197.5259,4,0,209,1,12019,0,1,0,220,1,1,0,1,3,0,1,0,0,1,0,0
44.6734,2,1,538,2,18664,0,1,0,258,1,1,0,0,2,0,1,0,0,1,0,0
1530.4351,4,0,110,7,8791,1,1,0,337,1,1,0,0,2,0,1,0,0,3,0,0
204.2979,2,1,1294,1,23412,0,1,0,462,1,1,0,1,2,0,1,0,0,1,0,0
1297.7259,2,1,365,2,8254,0,1,0,500,0,0,0,0,3,0,0,0,0,2,0,0
