orig_destination_distance,hotel_continent,hotel_country,hotel_market,srch_destination_id,length_of_stay,srch_destination_type_id,user_location_country_66,user_location_region,site_name_2,is_package,channel,srch_children_cnt,srch_adults_cnt,posa_continent_3,is_booking,user_location_city,cnt,date_time_MoY_January,date_time_MoY_July,date_time_MoY_June,srch_co_DoW_Friday,srch_rm_cnt
25.7582,2,1,426,45317,1,4,1,467,1,0,9,2,2,1,0,30092,1,0,0,0,0,1
2224.9265,2,1,591,11361,1,1,1,462,1,0,0,0,2,1,0,11417,1,0,0,0,0,1
1208.427,2,1,628,8250,3,1,0,135,0,1,9,0,2,1,0,27655,1,0,0,0,0,1
140.871,2,1,724,11360,1,1,0,354,0,0,9,0,2,1,0,13751,2,0,0,1,0,1
5.6611,2,1,701,8260,3,1,1,220,1,0,9,0,2,1,0,2086,1,1,0,0,0,1
220.4581,2,1,685,8284,7,1,1,220,1,0,9,2,4,1,0,2086,1,0,0,1,0,1
223.9001,2,1,685,8284,7,1,1,220,1,0,9,2,4,1,0,2086,1,0,0,1,0,1
1580.2095,2,1,656,12194,3,6,1,448,1,1,0,0,2,1,0,14052,5,0,0,0,0,1
685.8669,6,0,222,11643,0,1,0,171,0,1,9,0,3,0,0,43387,1,0,0,0,0,1
147.6857,2,0,938,6798,2,1,0,135,0,0,9,2,2,1,0,27655,1,0,0,0,0,1
1102.2774,2,1,682,8268,2,1,1,288,1,1,9,2,4,1,0,22648,1,0,0,0,0,1
2403.111,2,1,213,8855,6,1,1,174,1,1,2,0,2,1,0,54185,2,0,0,0,0,1
256.6268,2,0,750,25933,3,6,1,363,1,0,9,0,2,1,0,34849,1,0,0,0,0,1
1503.0693,4,0,126,11938,1,1,1,258,1,0,2,0,2,1,0,18883,1,0,0,0,0,1
7.0497,2,1,680,6307,1,3,1,220,1,0,0,0,2,1,0,38621,1,0,0,1,0,1
2670.4731,4,0,110,8791,7,1,1,462,1,0,9,1,1,1,0,11488,1,0,0,0,0,1
4409.0723,6,0,27,8745,8,1,1,220,1,0,9,0,2,1,0,14458,1,0,0,0,0,1
504.5873,2,1,1269,42991,1,1,1,294,0,0,5,0,2,1,0,7976,1,1,0,0,0,1
491.5016,2,1,645,8258,3,1,1,442,1,0,9,1,2,1,0,35390,1,0,0,0,0,1
349.2736,2,1,1230,8279,1,1,1,174,1,0,9,0,3,1,0,23848,3,0,0,0,0,3
5660.451,6,0,150,25452,5,6,1,442,1,0,0,0,2,1,0,35390,10,0,0,0,0,1
6.7076,2,1,1230,12826,6,5,1,174,1,0,9,0,1,1,0,32628,1,1,0,0,0,1
1335.9024,2,0,397,12951,1,5,1,184,1,0,1,0,1,1,1,18716,1,0,0,1,0,1
3383.8465,4,0,1517,12057,3,1,0,416,1,0,3,0,1,1,0,9409,1,0,0,0,0,1
2069.1872,2,1,628,44241,4,8,1,331,1,1,9,0,2,1,0,55101,2,0,1,0,0,1
192.0171,2,1,412,13636,2,4,1,442,1,0,4,0,2,1,0,49165,1,0,0,0,1,1
241.9466,2,1,412,8277,3,1,1,442,1,0,0,1,2,1,0,16858,1,0,0,0,0,1
293.3181,2,1,447,24943,1,6,1,348,1,0,9,0,4,1,1,53377,1,0,0,0,0,2
605.5754,2,1,350,8216,2,1,1,318,1,0,0,4,2,1,0,28994,1,0,0,0,0,1
425.3525,6,0,39,21014,1,6,0,395,0,0,9,0,2,0,0,29254,1,0,0,1,0,1
1358.6901,2,1,411,8266,7,1,1,311,1,1,0,0,2,1,0,38374,2,0,0,0,0,1
5267.3416,2,1,214,8857,9,1,0,330,0,0,9,0,2,1,0,54138,1,0,1,0,0,1
652.7786,2,0,397,26023,1,6,0,330,0,0,9,0,3,1,0,54138,1,1,0,0,0,1
1699.8316,4,0,199,11372,6,1,0,330,0,1,1,0,5,1,0,54138,1,0,0,0,1,1
604.1931,2,1,658,11625,1,1,1,174,1,0,9,1,1,1,0,21225,1,0,0,0,0,1
58.0166,2,0,750,11850,2,1,0,354,0,0,0,1,2,1,0,2875,2,0,1,0,1,1
6972.9822,3,0,47,21690,8,6,1,442,1,0,0,0,1,1,0,3602,1,0,0,0,1,1
2383.2347,2,1,696,13510,3,4,1,174,1,0,0,0,3,1,0,9444,1,0,0,0,1,1
2403.4313,2,1,682,17520,2,3,1,462,1,0,9,0,2,1,0,8352,1,0,1,0,0,1
90.1527,2,1,735,23564,1,6,1,356,1,0,9,1,2,1,0,16181,1,0,0,1,0,1
4209.2955,6,0,20,8255,9,1,1,321,1,1,0,0,2,1,0,9101,7,0,0,0,0,1
6379.5138,3,0,61,8242,1,1,0,155,0,0,0,1,2,1,0,14703,1,0,0,0,0,1
7324.8112,3,0,230,12682,1,5,1,174,1,0,0,0,2,1,0,49325,1,0,0,0,1,1
2706.0418,2,1,636,11204,9,3,1,462,1,0,9,0,1,1,0,52482,1,0,0,0,0,1
2553.2181,2,1,213,8855,7,1,1,174,1,0,0,0,4,1,0,42881,1,0,0,0,0,2
1072.2809,2,1,628,8250,4,1,1,442,1,0,9,2,2,1,0,44774,1,0,0,0,0,1
456.9496,2,1,644,28407,4,4,1,331,1,0,0,0,4,1,0,30955,1,0,0,0,0,2
6717.4846,6,0,979,22179,2,6,1,174,1,0,9,0,2,1,0,27251,1,0,0,0,0,1
4793.0053,6,0,245,8245,5,1,0,385,0,0,9,0,2,1,0,49569,1,0,0,0,0,1
1690.7224,4,0,110,8791,5,1,1,392,1,1,9,0,2,1,0,40807,1,0,0,0,0,1
1719.3569,2,0,750,14875,1,1,0,135,0,0,9,0,5,1,0,36086,1,0,1,0,0,1
139.7575,2,1,660,8273,2,1,1,462,1,0,9,2,2,1,0,4272,1,0,1,0,1,1
7511.5649,3,0,1195,53146,4,1,1,356,1,0,9,0,2,1,1,4751,1,0,0,0,0,1
1060.0536,2,1,663,12273,2,6,1,174,1,0,2,0,3,1,0,6844,2,0,0,0,0,1
179.7722,2,1,707,26663,1,1,1,322,1,0,9,1,1,1,0,10827,2,0,0,0,0,1
87.9835,2,1,355,8834,4,1,1,174,1,0,3,0,1,1,0,30698,1,0,0,0,0,1
1665.1865,2,1,1266,26870,6,1,1,174,1,0,2,3,2,1,0,26232,1,0,0,0,0,1
3233.5512,4,0,1503,11439,5,1,1,174,1,1,9,0,2,1,0,21942,5,0,0,0,0,1
28.9395,2,1,699,12495,1,5,1,220,1,0,3,2,2,1,0,2086,1,0,0,0,0,1
409.7513,2,1,1168,8232,2,1,1,348,1,1,9,0,2,1,0,48862,1,0,0,0,0,1
1035.8804,2,1,628,8250,3,1,0,135,0,1,9,0,2,1,0,36086,10,1,0,0,0,1
1086.5437,2,1,366,12175,6,6,0,155,0,0,9,3,2,1,0,17143,1,0,1,0,1,1
2429.3967,2,1,675,13409,4,4,1,174,1,0,9,0,2,1,0,23663,1,0,0,0,0,1
197.3012,2,1,628,8250,1,1,1,174,1,0,9,0,2,1,0,23663,1,0,0,0,0,1
5634.5868,6,0,278,21918,2,6,1,174,1,0,9,1,2,1,0,39877,2,0,0,0,0,1
518.6449,2,1,677,26033,4,6,1,351,1,0,0,0,2,1,0,7929,1,0,0,0,0,1
128.0564,2,1,915,25101,1,1,1,184,1,0,9,0,2,1,0,2037,1,0,0,0,0,1
917.1684,2,1,700,11854,4,1,1,314,1,0,9,0,1,1,0,50016,1,0,0,0,1,1
366.3515,2,1,628,12206,2,6,1,447,1,0,9,0,2,1,0,902,1,0,0,0,0,1
7713.5538,3,0,91,8822,1,1,1,311,1,0,0,0,1,1,0,42563,2,0,0,0,0,1
0.1402,2,1,1675,11924,6,1,1,356,0,1,9,0,2,0,0,18752,1,0,0,0,0,1
508.1919,2,0,399,8288,4,1,0,135,0,0,9,0,2,1,0,27655,2,0,0,0,0,1
387.394,2,1,628,8250,1,1,1,174,1,0,0,0,3,1,1,18037,1,0,0,0,0,1
386.607,2,1,628,8250,2,1,1,174,1,0,9,0,1,1,0,18354,1,0,0,0,0,1
2018.4257,2,1,692,25274,3,1,1,153,1,1,9,0,1,1,0,20706,1,0,0,0,0,1
1350.5016,4,0,110,8791,3,1,1,448,1,1,9,0,2,1,0,24848,1,0,0,0,0,1
1070.7857,2,1,1235,17563,7,1,1,333,1,1,9,0,2,1,0,53434,1,0,0,0,1,1
2505.8325,2,1,213,8855,2,1,1,174,1,1,9,0,2,1,0,24103,2,0,0,0,0,1
1113.215,2,1,686,12008,2,1,0,354,0,0,9,2,2,1,0,41495,2,0,0,0,0,1
1112.2481,2,1,686,12008,2,1,0,354,0,0,9,2,2,1,0,41495,1,0,0,0,0,1
434.5872,2,1,1675,16019,3,5,1,174,1,0,1,0,2,1,0,26232,2,0,0,0,0,1
1133.7813,2,1,637,8230,2,1,1,220,1,0,9,0,1,1,0,40105,1,0,0,0,0,1
964.8437,2,1,365,12603,2,5,1,462,1,0,9,0,2,1,0,1263,3,0,0,0,0,1
1606.7027,4,0,126,5405,3,6,1,348,1,1,9,0,2,1,0,25443,1,0,1,0,0,1
540.3235,2,1,546,13378,1,4,1,351,1,0,0,0,1,1,0,36508,1,0,0,1,0,1
5143.7504,4,0,2054,22891,1,6,1,363,1,0,9,0,2,1,0,2495,1,0,0,0,0,1
387.7473,2,1,628,8250,4,1,1,174,1,1,9,2,2,1,0,46432,3,0,0,0,0,1
1393.3172,4,0,126,11938,5,1,1,196,1,1,9,2,2,1,0,2428,2,0,0,0,0,1
2238.049,2,1,628,12602,3,5,1,348,1,0,9,0,6,1,0,41884,5,0,0,0,1,3
68.0145,2,1,675,12233,1,6,1,348,1,0,9,0,1,1,0,19543,1,0,0,0,0,1
5380.8821,3,0,232,8282,12,1,0,172,0,0,1,0,2,0,0,40514,1,0,0,0,0,1
1013.2062,2,1,663,3415,2,3,1,184,1,0,0,1,2,1,0,2037,1,0,0,0,0,1
3629.2187,6,0,27,8745,3,1,1,348,1,0,1,2,2,1,0,47997,1,0,0,0,0,1
2417.3617,2,1,355,8834,1,1,1,448,1,0,0,0,4,1,0,46588,1,1,0,0,0,2
1445.5992,2,1,659,8272,2,1,1,258,1,1,1,0,2,1,0,4687,1,0,0,0,0,1
1263.8092,2,1,659,8272,4,1,1,321,1,1,0,3,2,1,0,47535,1,0,1,0,1,1
1858.025,2,1,411,12228,5,6,1,174,1,0,9,0,1,1,0,40049,1,0,0,0,0,1
424.3796,6,0,1614,8745,4,1,0,172,0,1,0,0,2,0,0,56153,1,0,0,0,0,1
99.1339,2,1,690,12184,1,6,1,315,1,0,9,0,2,1,0,22202,6,1,0,0,0,1
98.7514,2,1,690,12184,1,6,1,315,1,0,1,1,2,1,0,22202,1,0,0,0,0,1
1550.0776,4,0,1503,11439,5,1,1,348,1,1,9,0,2,1,0,3715,5,0,0,0,0,1
299.4972,2,1,365,4606,1,1,1,174,1,0,2,0,2,1,1,42586,1,0,0,1,0,1
1029.3347,2,1,675,8267,3,1,1,254,1,1,9,0,2,1,0,47071,1,0,0,0,1,2
1190.7331,4,0,118,8824,4,1,1,184,1,1,0,2,1,1,0,27733,2,0,0,0,0,1
3875.7689,6,0,290,8213,2,1,1,351,1,0,2,0,2,1,0,43156,2,0,0,0,0,1
457.1327,6,0,1409,17805,8,6,0,436,0,0,5,0,2,0,0,21686,3,0,1,0,0,1
4094.5652,6,0,28,21545,1,6,1,337,1,0,9,0,2,1,0,39642,2,0,0,0,0,1
3588.1462,6,0,132,8817,3,1,1,337,1,0,2,0,2,1,0,21987,1,0,0,0,0,1
19.8138,2,1,1191,25823,5,6,1,471,1,1,9,0,2,1,0,51898,1,0,0,0,0,1
431.4442,2,1,1560,584,1,1,1,153,1,0,9,0,2,1,0,27462,1,0,1,0,0,1
2117.1534,2,1,368,35991,3,6,1,363,1,0,9,0,2,1,0,2495,1,0,0,1,0,1
1206.1733,2,1,1457,28514,3,6,1,348,1,1,0,0,2,1,0,48862,1,0,0,0,0,1
289.6577,2,1,1149,24928,4,6,1,348,1,0,0,0,1,1,0,48862,1,0,0,0,1,1
598.4657,2,1,406,12453,1,5,1,143,1,0,1,0,1,1,0,49966,1,0,0,0,0,1
1051.1417,4,0,110,12188,5,6,1,442,1,1,9,1,3,1,0,2030,5,0,0,0,0,1
8011.2596,3,0,103,26404,2,6,1,442,1,0,9,0,1,1,0,28620,1,0,1,0,0,1
111.041,2,1,529,24891,1,6,1,337,1,0,9,0,4,1,0,26174,3,0,0,0,0,1
6070.0962,6,0,104,53360,1,6,1,174,1,0,9,0,2,1,0,31320,1,0,0,0,0,1
348.3202,2,1,675,7635,3,3,0,354,0,0,5,0,2,1,0,41495,1,0,0,0,0,1
153.1156,2,1,489,18055,1,1,1,226,1,0,9,0,2,1,0,42442,1,0,1,0,0,1
4813.0608,6,0,29,8746,5,1,1,258,1,0,3,0,1,1,0,4687,1,0,0,1,0,1
80.0018,2,1,538,11812,3,1,1,258,1,1,9,0,2,1,0,4687,1,0,0,0,0,1
329.0885,2,0,384,8262,2,1,1,348,1,0,0,0,1,1,0,48862,1,0,0,1,0,1
881.3569,2,0,402,8854,5,1,1,174,1,1,0,0,4,1,0,17494,1,0,0,0,0,2
2681.4094,4,0,1600,9600,5,1,1,332,1,0,3,0,2,1,0,55121,1,0,1,0,0,1
5472.2991,6,0,19,8253,23,1,0,199,1,0,9,1,1,1,0,3,1,0,0,0,0,1
4.304,2,1,192,8249,3,1,1,322,1,0,9,0,1,1,0,45317,1,0,0,0,0,1
4906.1658,6,0,19,8253,6,1,1,442,1,0,9,0,2,1,0,7578,1,0,0,1,0,1
4417.2394,6,0,19,8253,3,1,1,220,1,0,9,1,2,1,0,5444,1,0,1,0,0,1
1745.7257,2,1,637,8230,3,1,1,174,1,0,9,0,3,1,1,40789,1,0,0,0,0,1
1854.1541,2,1,637,8230,2,1,1,174,1,0,9,1,1,1,0,35675,1,0,0,0,0,1
1581.9486,2,1,646,8261,1,1,1,174,1,0,9,1,1,1,0,17494,1,0,0,1,0,1
925.3254,4,0,118,8824,6,1,1,174,1,1,9,2,2,1,0,24103,1,0,0,0,0,1
2137.2506,2,0,370,11629,4,1,1,311,1,0,0,1,3,1,0,52237,3,0,0,0,0,1
175.6581,2,1,675,8267,2,1,1,311,1,0,0,1,2,1,1,52237,1,0,0,0,1,1
2536.0204,2,1,682,44253,1,8,1,462,1,0,9,1,2,1,0,4272,1,0,0,0,0,1
3016.6728,6,0,1913,33496,1,1,0,385,0,0,3,0,2,1,0,45494,1,0,0,0,0,1
390.559,2,1,368,21648,2,4,1,174,1,0,9,0,2,1,0,18354,2,0,0,0,0,1
40.8653,2,1,358,8279,2,1,1,174,1,0,9,0,2,1,0,16634,1,0,1,0,0,1
7250.921,3,0,821,18821,3,3,1,174,1,0,9,0,2,1,0,18354,1,0,0,0,0,1
355.6426,2,1,682,14127,2,4,1,226,1,0,9,2,2,1,0,51467,2,0,0,0,0,1
3027.0345,4,0,1511,11336,9,6,1,174,1,1,0,1,2,1,0,27251,2,0,0,0,0,1
628.0974,2,1,658,11625,4,1,1,174,1,1,5,0,2,1,0,5938,1,0,0,0,1,1
509.0136,2,1,1633,44976,1,1,1,184,1,0,3,1,1,1,0,28561,1,0,0,0,0,1
4586.6197,3,0,61,8242,6,1,0,500,0,0,5,0,2,0,0,15015,1,0,0,0,0,1
3919.6096,3,0,1242,19371,8,6,0,500,0,0,5,0,2,0,0,8477,1,0,1,0,0,1
968.0166,2,1,637,8230,3,1,1,442,1,0,9,0,1,1,0,19605,1,0,0,0,0,1
2183.8595,2,1,628,8250,4,1,1,220,1,1,9,0,2,1,0,33119,3,0,1,0,0,1
1025.2287,2,1,566,27262,3,1,1,435,1,0,3,0,2,1,0,40631,2,0,0,0,0,1
611.9536,2,1,355,24282,1,6,1,447,1,0,0,0,4,1,0,902,1,0,0,0,0,1
1343.2639,4,0,110,12188,6,6,1,260,1,1,0,0,2,1,0,56160,2,1,0,0,0,1
524.0332,6,0,28,18652,4,6,0,367,0,1,5,0,2,0,0,21031,1,0,0,0,0,1
1174.2586,4,0,110,8791,6,1,1,448,1,1,9,0,2,1,0,50061,2,0,0,0,1,1
1196.4503,4,0,110,8791,5,1,1,448,1,1,2,0,2,1,0,31350,2,0,0,1,0,1
89.8891,2,1,685,49090,2,6,1,220,1,0,0,1,2,1,0,1437,1,0,0,0,0,1
2451.267,2,1,675,8267,2,1,1,174,1,0,9,0,2,1,1,24103,1,0,0,0,1,1
2451.1628,2,1,675,8267,4,1,1,174,1,0,3,0,2,1,0,24103,1,0,0,0,0,1
2436.7653,4,0,110,8791,14,1,0,135,0,0,9,0,2,1,0,34614,4,0,0,1,0,1
1687.4379,2,0,371,8228,1,1,0,354,0,0,9,0,2,1,0,25315,1,0,0,0,0,1
621.6289,2,1,593,19535,2,1,1,448,1,1,9,1,1,1,0,42722,1,1,0,0,0,1
4353.9506,3,0,70,921,2,1,0,500,0,0,3,0,5,0,0,46877,1,0,0,0,0,2
2419.5722,4,0,118,8824,4,1,1,348,1,1,1,0,2,1,0,47997,1,0,0,0,0,1
3.6589,2,1,368,12264,1,6,1,174,1,0,1,0,2,1,0,5938,2,0,0,0,0,1
354.7742,2,1,623,42524,3,3,0,354,0,0,5,0,2,1,0,10837,2,0,1,0,0,1
9658.798,3,0,73,21222,6,1,1,220,1,1,9,0,2,1,0,1437,1,0,1,0,0,1
92.1141,2,1,718,11819,1,1,1,348,1,0,9,0,2,1,0,48862,1,0,1,0,0,1
556.3443,2,1,681,11319,8,1,1,348,1,1,9,0,2,1,0,48862,3,1,0,0,0,1
842.594,2,1,409,8243,1,1,1,220,1,0,9,1,2,1,0,17609,1,0,0,1,0,1
5342.6836,4,0,2085,22869,2,6,0,155,0,1,9,1,1,1,0,14703,1,0,0,0,0,1
180.7577,2,1,685,8284,1,1,1,220,1,0,1,0,2,1,0,20365,1,0,1,0,0,1
144.4585,2,1,682,8268,2,1,1,220,1,0,1,0,4,1,0,40105,1,0,1,0,0,1
1511.9187,2,1,411,8266,4,1,1,346,1,1,0,0,2,1,0,31371,4,0,0,0,0,1
1468.736,2,1,357,8835,6,1,1,442,1,0,9,0,2,1,0,30104,1,1,0,0,0,1
3739.2797,6,0,1614,8745,3,1,0,354,0,0,9,0,2,1,0,48951,1,0,0,0,0,1
3742.551,6,0,27,8745,4,1,0,354,0,0,9,0,2,1,0,48951,2,0,0,0,0,1
872.4319,2,1,690,12372,4,5,1,258,1,0,2,0,2,1,0,1233,4,0,0,0,0,1
1036.5759,2,1,628,8250,1,1,0,135,0,0,9,0,2,1,0,36086,1,0,0,1,0,1
1599.7293,2,1,355,12688,1,5,1,442,1,0,2,0,2,1,0,35390,1,0,0,1,0,1
2977.6608,4,0,1531,12780,9,5,1,174,1,0,9,0,2,1,0,37675,1,0,0,0,0,1
90.7745,2,0,399,26419,1,6,0,155,0,0,9,0,2,1,0,12291,2,0,0,0,0,1
170.3684,2,0,377,11813,1,1,0,135,0,0,9,0,2,1,0,27655,1,0,0,0,0,1
765.9608,2,1,628,8250,2,1,1,356,1,1,3,0,2,1,0,33823,1,0,1,0,0,1
52.48,6,0,1874,22041,1,3,0,219,1,0,9,0,2,1,0,42884,1,0,0,1,0,1
6311.6926,6,0,1518,20561,3,1,1,153,1,1,2,0,2,1,0,20706,1,0,0,0,0,1
96.9851,2,1,498,10612,1,3,1,363,1,0,9,0,1,1,0,21851,1,0,0,0,0,1
360.4744,2,1,659,12256,1,6,1,174,1,1,9,0,1,1,1,24103,1,1,0,0,0,1
3534.7048,6,0,19,8253,2,1,1,363,1,1,9,0,2,1,0,35886,1,0,0,0,0,1
297.9174,2,1,663,23475,1,6,0,155,0,0,9,0,2,1,0,38787,1,0,1,0,1,1
5945.6071,5,0,253,18788,1,1,0,347,0,1,9,0,2,0,0,49707,1,0,0,0,0,1
5460.9841,4,0,110,8791,5,1,0,184,0,1,0,0,2,0,0,28154,3,0,0,0,1,1
284.6286,2,1,420,7060,1,3,0,354,0,0,9,0,1,1,1,44939,1,0,0,0,0,1
1051.6151,2,1,675,7635,3,3,1,220,1,0,9,0,2,1,0,35388,5,0,0,0,0,1
631.2257,6,0,1859,19932,5,1,0,172,0,1,9,1,2,0,0,56153,3,0,0,0,1,1
19.2676,2,1,365,47998,2,3,1,174,1,0,9,0,1,1,1,24785,1,0,0,0,0,1
4290.1697,6,0,308,33352,9,4,0,135,0,0,0,0,1,1,0,36086,1,0,0,1,0,1
340.458,2,1,1230,3564,2,3,1,174,1,0,2,0,4,1,0,23848,2,0,0,0,0,1
386.7857,2,1,675,13411,1,4,1,315,0,0,9,0,1,0,0,40247,1,0,1,0,1,1
234.8625,2,1,628,12206,3,6,1,174,1,0,2,0,2,1,0,24294,1,0,0,1,0,1
459.9993,2,1,530,43002,1,1,1,442,1,0,9,0,2,1,0,35390,3,0,1,0,0,1
10109.6884,0,0,959,20395,1,6,0,172,0,0,5,1,4,0,0,56153,1,0,0,0,0,2
5233.4681,6,0,20,8255,2,1,0,155,1,0,9,0,3,1,0,14703,1,0,0,0,0,1
107.3982,2,1,637,12189,1,6,1,467,1,0,0,3,2,1,0,36345,2,0,0,0,1,1
103.122,2,0,384,26227,2,6,0,354,0,0,9,0,2,1,0,21728,1,0,0,0,1,1
2042.9369,4,0,1547,22391,5,1,1,288,1,1,8,0,2,1,0,38223,1,0,0,0,0,1
419.4162,2,1,708,356,1,1,1,321,1,0,9,0,1,1,0,47535,1,0,0,0,0,1
2723.016,2,1,701,8260,10,1,1,462,1,0,9,0,3,1,0,27117,1,0,0,0,0,1
4384.0566,6,0,12,8740,2,1,0,354,0,0,0,1,2,1,0,41949,1,0,0,0,0,1
410.3207,2,1,1649,23610,3,6,1,325,1,0,9,0,2,1,1,32561,1,0,0,0,1,1
102.6419,2,1,368,8278,1,1,1,174,1,0,3,0,2,1,0,23848,1,0,0,0,0,1
3584.9442,4,0,1503,11439,6,1,1,356,1,1,9,0,2,1,0,4779,1,0,0,1,0,1
4100.4928,6,0,186,8813,4,1,1,337,1,0,9,2,2,1,0,16618,1,0,1,0,0,1
472.5575,2,1,447,3949,1,3,1,331,1,0,3,0,2,1,0,41061,1,0,0,0,1,1
